"Time","Events","Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","A1","T3","C3","Cz","C4","T4","A2","CP5","CP1","CP2","CP6","T5","P3","Pz","P4","T6","POz","O1","Oz","O2","AF7","AF3","AF4","AF8","F5","F1","F2","F6","FC3","FCz","FC4","C5","C1","C2","C6","CP3","CPz","CP4","P5","P1","P2","P6","PO5","PO3","PO4","PO6","FT7","FT8","TP7","TP8","PO7","PO8","BIP65","BIP66","BIP67","BIP68","AUX69","AUX70","AUX71","AUX72","Digi","Saw"
1:05:06.936,,-3526.2457,-2821.3202,-3148.6806,-1758.1759,-1405.1799,10874.2092,-1420.8114,-1065.7557,-906.5718,8929.1725,674.8578,-2103.816,1832.8209,-1590.6982,-177.2796,-150.706,3191.6764,-3817.9111,-3028.833,-4698.9944,-296.5571,3099.2851,2204.961,-56.5676,302.2213,-4613.4257,1657.5826,2886.7886,798.549,344.316,415.7427,621.7107,-2036.2327,-2789.34,-3024.4745,-2191.9409,-1808.9875,2764.4399,331.5349,-1846.8893,1215.7077,12153.0314,-1806.8359,-1817.0975,5322.5073,-1127.0311,-3009.8913,-2173.8819,-1025.4632,10262.521,-217.6273,1455.6972,-2761.7366,2852.8591,-826.6857,600.2312,-4273.0268,915.2887,-3650.9667,-2634.1468,-1676.7082,1323.9513,-520.5289,775.8189,7035.2967,4471.1055,-39492224,-39492224,38.6835,715.1359,-1048573.3125,-1048573.3125,200,10626
1:05:06.937,,-3532.9948,-2823.9132,-3150.1518,-1761.5045,-1408.7659,10868.6738,-1422.8343,-1063.3098,-911.3716,8928.8782,676.5681,-2107.4388,1833.6117,-1601.1621,-181.1415,-148.959,3195.7958,-3827.2348,-3036.0051,-4697.7622,-298.672,3103.2757,2206.1747,-55.7769,302.3684,-4609.0857,1660.5434,2894.7883,801.5649,341.0425,413.2417,635.5952,-2038.7522,-2794.5076,-3025.9274,-2195.0304,-1813.2724,2764.0538,331.3326,-1848.949,1214.8986,12149.2063,-1807.5347,-1820.8674,5323.4084,-1126.5162,-3000.5859,-2174.6175,-1025.8861,10268.3874,-218.1054,1455.4214,-2757.2311,2860.8403,-825.4903,603.3943,-4266.719,928.4743,-3658.6169,-2634.2204,-1680.2391,1323.5467,-519.5175,786.4667,7033.3106,4456.136,-39492224,-39492224,38.6884,714.8209,-1048573.3125,-1048573.3125,200,10627
1:05:06.937,,-3532.8293,-2824.3178,-3152.6528,-1762.2401,-1411.0279,10865.6211,-1423.8641,-1062.8684,-911.0038,8930.2207,676.9359,-2107.917,1844.4802,-1613.7777,-179.0083,-144.4351,3198.7566,-3845.5697,-3041.0807,-4698.4427,-295.2331,3106.1997,2195.8763,-47.2991,305.9544,-4609.196,1665.0306,2882.6693,803.7166,342.4954,415.3014,641.6639,-2040.7199,-2794.7651,-3027.1227,-2193.927,-1814.762,2765.0836,329.6407,-1849.5375,1216.2226,12151.4683,-1808.9691,-1825.8327,5324.3647,-1121.9923,-2996.4482,-2172.0797,-1024.1023,10269.7667,-208.0461,1458.0144,-2753.7738,2850.4132,-823.7617,601.353,-4264.0341,931.3799,-3662.6811,-2637.3099,-1676.9657,1312.9173,-517.9911,792.5538,7024.0604,4444.4216,-39492224,-39492224,38.6703,714.9596,-1048573.3125,-1048573.3125,200,10628
1:05:06.937,,-3532.0018,-2823.5638,-3151.5127,-1759.5184,-1407.5338,10866.3935,-1421.1608,-1059.3376,-912.9899,8930.9747,680.0622,-2107.6411,1856.9118,-1618.8901,-176.3233,-145.0235,3199.3267,-3861.8816,-3040.7681,-4693.2751,-291.1689,3103.8826,2172.4291,-36.8903,312.4829,-4607.4673,1661.6468,2849.6224,805.9417,350.5134,419.6966,634.9147,-2037.6672,-2792.9077,-3027.987,-2191.757,-1811.5621,2767.695,333.7049,-1848.9306,1215.91,12153.6199,-1807.3692,-1822.5777,5326.3692,-1121.6429,-2993.9839,-2166.8753,-1021.0864,10268.553,-198.5568,1462.6119,-2753.2037,2821.0076,-818.263,608.2125,-4265.0639,928.8973,-3663.7293,-2636.9421,-1670.3453,1288.9551,-509.1639,786.6506,7006.1302,4435.6128,-39492224,-39492224,38.6635,715.0123,-1048573.3125,-1048573.3125,200,10629
1:05:06.938,,-3525.5837,-2817.5135,-3147.3014,-1756.8519,-1401.6674,10868.0118,-1418.4575,-1050.8046,-905.1926,8934.5056,681.1656,-2100.0828,1860.0565,-1616.5178,-172.6269,-142.3202,3199.6209,-3870.2123,-3032.3087,-4687.5374,-289.4586,3104.0113,2156.5033,-31.925,312.0047,-4608.3685,1656.608,2822.865,804.6177,346.0446,415.3014,619.412,-2033.1984,-2788.6228,-3021.5138,-2186.4974,-1807.1117,2774.4993,338.5783,-1843.5423,1219.6432,12155.7715,-1802.6797,-1816.7665,5328.3002,-1121.698,-2994.4253,-2166.1213,-1021.3806,10263.9555,-192.1939,1462.5567,-2757.1391,2794.5628,-818.7412,606.3367,-4270.1396,912.475,-3654.332,-2628.3723,-1664.5341,1268.2112,-513.504,772.0122,6994.8755,4413.3057,-39492224,-39492224,38.7436,714.778,-1048573.3125,-1048573.3125,200,10630
1:05:06.938,,-3522.1079,-2816.4101,-3144.8003,-1753.2474,-1401.5754,10872.5173,-1417.9793,-1048.6897,-902.287,8938.3307,682.7287,-2099.4576,1854.1717,-1610.8169,-170.3833,-144.619,3197.3405,-3873.7799,-3027.5641,-4685.4409,-290.7091,3100.5908,2144.2188,-29.9573,312.5197,-4609.8029,1651.6611,2823.0305,800.5167,340.1047,412.1751,606.1896,-2028.0124,-2784.1172,-3017.7438,-2183.3895,-1801.2821,2777.3497,341.962,-1838.6138,1224.4798,12157.1692,-1799.1305,-1812.6839,5328.5025,-1119.289,-2999.078,-2164.503,-1021.0496,10262.4843,-188.5711,1462.1889,-2762.0125,2794.6363,-820.0285,603.7805,-4276.5025,896.9906,-3643.1509,-2624.3082,-1654.4931,1257.9863,-515.3981,760.3897,6997.9466,4393.1135,-39492224,-39492224,38.8358,714.8507,-1048573.3125,-1048573.3125,200,10631
1:05:06.939,,-3521.685,-2812.7321,-3143.182,-1749.6614,-1399.056,10872.0024,-1415.9564,-1050.4184,-899.7491,8937.8158,680.5771,-2098.8323,1850.7696,-1602.854,-169.2616,-146.3108,3193.3131,-3873.596,-3009.3396,-4682.425,-291.647,3096.7289,2134.8215,-28.1367,313.0162,-4613.7199,1642.3741,2830.4417,800.7742,339.7001,411.7337,598.7784,-2024.1505,-2780.9726,-3014.8014,-2181.8999,-1800.381,2777.552,344.5918,-1839.2207,1226.1349,12157.1876,-1800.0316,-1807.0933,5330.7277,-1122.4888,-3010.02,-2163.2341,-1022.3369,10256.8201,-186.8976,1458.0511,-2764.1641,2800.3188,-819.9549,600.4703,-4281.8908,892.0805,-3637.8914,-2621.991,-1650.7967,1255.9634,-514.4235,751.5809,7016.2447,4387.3758,-39492224,-39492224,38.7631,714.9767,-1048573.3125,-1048573.3125,200,10632
1:05:06.939,,-3518.4667,-2814.8837,-3145.444,-1751.9049,-1398.2652,10877.3539,-1417.2069,-1056.763,-898.5538,8939.4893,679.0691,-2102.2896,1845.4181,-1591.6361,-166.2272,-147.2671,3188.2927,-3872.8236,-2996.9079,-4680.7331,-291.7757,3090.1452,2137.8191,-26.7207,316.3448,-4613.2234,1633.8779,2828.713,798.8248,338.9645,413.3152,594.0706,-2022.9184,-2779.2439,-3013.3486,-2180.0609,-1796.5375,2778.6186,344.1872,-1838.0069,1227.4957,12158.53,-1802.6613,-1802.9004,5331.0403,-1127.4909,-3023.4447,-2159.2802,-1024.5069,10251.1008,-184.5436,1460.5706,-2768.4306,2797.4868,-817.0861,603.192,-4284.0976,888.3657,-3635.1329,-2626.7908,-1641.7305,1261.8298,-510.6903,746.5972,7031.9314,4366.6503,-39492224,-39492224,38.7055,714.8561,-1048573.3125,-1048573.3125,200,10633
1:05:06.940,,-3517.8231,-2816.0423,-3147.7979,-1750.4889,-1395.9849,10877.7585,-1423.2021,-1063.5305,-897.7078,8937.9629,671.9338,-2105.7469,1837.069,-1585.4754,-167.7904,-151.8646,3182.224,-3866.0929,-3014.5072,-4679.2619,-293.2469,3084.6098,2153.1931,-24.7162,317.0988,-4614.5659,1629.5747,2840.9607,796.3238,338.5047,415.8715,594.9165,-2021.0242,-2775.9889,-3013.0727,-2181.7896,-1795.1766,2779.3358,342.8632,-1838.8161,1226.613,12157.022,-1805.6405,-1798.873,5331.7207,-1128.5207,-3041.8715,-2159.9055,-1025.4264,10245.3264,-182.3552,1464.2118,-2768.4857,2811.4264,-811.5139,605.454,-4282.2954,887.8508,-3636.6776,-2630.4136,-1636.1215,1282.868,-507.2514,745.2915,7041.2367,4370.788,-39492224,-39492224,38.8563,714.6637,-1048573.3125,-1048573.3125,200,10634
1:05:06.940,,-3518.2644,-2814.9757,-3146.7129,-1752.0521,-1395.9481,10878.0527,-1422.8895,-1064.6155,-902.0663,8937.9629,671.2718,-2108.156,1826.6603,-1588.4178,-165.9146,-153.5197,3177.5161,-3855.4267,-3043.1772,-4677.9194,-291.6654,3081.5203,2178.6265,-28.008,318.901,-4618.1335,1631.5424,2855.5072,796.4893,335.1577,411.7153,596.3693,-2019.4978,-2777.0739,-3013.4589,-2182.2493,-1793.6502,2778.0853,341.6862,-1839.3678,1226.2084,12158.1254,-1808.16,-1794.2203,5332.585,-1132.5298,-3061.8614,-2160.0526,-1024.6356,10243.2115,-183.4402,1462.5015,-2769.0926,2827.3521,-812.7093,605.785,-4277.3485,888.9174,-3644.1256,-2632.9147,-1638.457,1308.4117,-507.0491,750.4223,7035.0209,4388.6999,-39492224,-39492224,38.8959,714.5509,-1048573.3125,-1048573.3125,200,10635
